Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
23.0,170.0,63.0,Ethiopia,1972,Munich,Athletics Men's 4 x 100 metres Relay,20257819022.4412,1313.0,41043478.26086961,1750111407.4776413,3258520477.0925517,9795254505.03101,22.2,N,0
19.0,178.0,56.0,Ethiopia,2004,Athina,"Athletics Men's 5,000 metres",43340606078.1234,1162.6,311038748.989645,4195701011.7084694,7006897121.211773,25498476618.80027,22.2,N,0
27.0,178.0,56.0,Ethiopia,2012,London,"Athletics Men's 10,000 metres",115941272342.921,2046.8,366539017.667525,10872502627.796568,9816028513.209661,18640655747.099762,22.2,N,0
23.0,181.0,61.0,Ethiopia,2012,London,"Athletics Men's 1,500 metres",115941272342.921,2046.8,366539017.667525,10872502627.796568,9816028513.209661,18640655747.099762,22.2,N,0
27.0,181.0,61.0,Ethiopia,2016,Rio de Janeiro,"Athletics Men's 1,500 metres",177814369742.52698,2484.0,468729993.231996,14630192601.985615,18252399589.788216,19085320908.742203,22.2,N,0
22.0,180.0,58.0,Ethiopia,2012,London,"Athletics Men's 5,000 metres",115941272342.921,2046.8,366539017.667525,10872502627.796568,9816028513.209661,18640655747.099762,22.2,N,1
26.0,180.0,58.0,Ethiopia,2016,Rio de Janeiro,"Athletics Men's 5,000 metres",177814369742.52698,2484.0,468729993.231996,14630192601.985615,18252399589.788216,19085320908.742203,22.2,N,0
18.0,171.0,56.0,Ethiopia,2012,London,"Athletics Men's 5,000 metres",115941272342.921,2046.8,366539017.667525,10872502627.796568,9816028513.209661,18640655747.099762,22.2,N,0
22.0,171.0,56.0,Ethiopia,2016,Rio de Janeiro,"Athletics Men's 5,000 metres",177814369742.52698,2484.0,468729993.231996,14630192601.985615,18252399589.788216,19085320908.742203,22.2,N,1
23.0,165.0,56.0,Ethiopia,1996,Atlanta,"Athletics Men's 10,000 metres",27490504533.5508,1213.6,126454733.235931,2461084226.204855,3050205213.032312,19834401594.78547,22.2,N,1
27.0,165.0,56.0,Ethiopia,2000,Sydney,"Athletics Men's 10,000 metres",32597956575.1223,1116.3,617541613.6279,3091702770.6386933,5325184511.434858,26146922411.35669,22.2,N,1
31.0,165.0,56.0,Ethiopia,2004,Athina,"Athletics Men's 10,000 metres",43340606078.1234,1162.6,311038748.989645,4195701011.7084694,7006897121.211773,25498476618.80027,22.2,N,0
35.0,165.0,56.0,Ethiopia,2008,Beijing,"Athletics Men's 10,000 metres",73862457732.4032,1446.3,388187596.747412,5771718996.819163,9512052097.576044,27665344121.524303,22.2,N,0
23.0,185.0,107.0,Hungary,1988,Seoul,Athletics Men's Hammer Throw,86215466284.409,5224.6,1027508668.3646301,22030855082.356606,42903065134.01056,61418146326.64208,9.75,N,0
27.0,185.0,107.0,Hungary,1992,Barcelona,Athletics Men's Hammer Throw,85478237119.5911,3646.0,812017967.195183,20581391186.352436,43988007965.291756,64524687371.74176,9.75,N,0
35.0,185.0,107.0,Hungary,2000,Sydney,Athletics Men's Hammer Throw,121285632203.895,3632.7,715857664.815596,26924398024.13259,49895724006.52538,73603690318.85089,9.75,N,0
23.0,185.0,80.0,Belgium,1964,Tokyo,Athletics Men's 400 metres Hurdles,186978038235.92105,8021.4,497059226.927638,47653220361.40485,84688277150.46533,134335813976.5595,9.55,N,0
27.0,185.0,80.0,Belgium,1968,Mexico City,Athletics Men's 400 metres Hurdles,186978038235.92105,8021.4,646381114.508621,47653220361.40485,84688277150.46533,134335813976.5595,9.55,N,0
33.0,174.0,64.0,Belgium,1984,Los Angeles,Athletics Men's Marathon,186978038235.92105,8021.4,2407447484.34478,47653220361.40485,84688277150.46533,115374885151.20303,9.55,N,0
